Date/Time,Lat,Lon,Base
2024-07-21 08:27:52,40.71125025503638,-73.92469837662263,B02764
2024-02-21 05:16:12,40.836462859080456,-74.13146447491052,B02598
2024-09-21 06:27:21,40.77880266779321,-73.90379630340044,B02764
2024-03-16 20:01:29,40.90064675293549,-73.79031911417219,B02512
2024-11-30 00:44:28,40.73388706151209,-73.7989070259994,B02682
2024-07-25 12:10:39,40.871507861216074,-73.72578886924224,B02598
2024-08-08 11:26:51,40.65234094111476,-73.74301548667462,B02682
2024-09-22 05:55:33,40.77943010151842,-74.02890758614403,B02598
2024-11-19 22:25:36,40.675316897221556,-73.74879467956059,B02764
2024-10-04 04:21:11,40.621079532443865,-74.06534666256141,B02764
2024-01-26 07:35:01,40.647822221739425,-74.05654823015982,B02512
2024-12-13 18:17:08,40.68005747765939,-73.99053105021562,B02598
2024-12-25 10:19:58,40.67814171441542,-74.00308131841986,B02512
2024-12-04 11:12:51,40.708499233023716,-74.04057607333532,B02764
2024-10-03 22:30:30,40.88480161389114,-73.99856264682161,B02764
2024-06-14 11:50:33,40.758949360726085,-74.01451723629842,B02682
2024-10-02 04:44:39,40.903288642727574,-74.02498593414921,B02598
2024-01-09 00:01:31,40.898265698312485,-74.04776076606736,B02617
2024-03-16 01:43:56,40.85235918215149,-73.70961612761256,B02512
2024-09-07 20:23:01,40.88949084531491,-73.77564275874398,B02682
2024-11-04 10:05:32,40.780566848432414,-74.14793644125949,B02764
2024-10-14 03:10:31,40.693303697311066,-73.98821885680184,B02617
2024-04-24 01:46:52,40.74015829223684,-73.92810932304664,B02764
2024-10-25 13:23:54,40.9086597825175,-74.09857287921415,B02512
2024-05-08 11:08:00,40.75321926959647,-74.05828197013,B02764
2024-12-11 17:33:03,40.619484466798035,-73.84396412629941,B02598
2024-11-01 13:42:21,40.61684354223373,-73.90930020817545,B02764
2024-08-27 19:51:59,40.71471268783859,-73.9704995528959,B02512
2024-02-02 02:38:32,40.760863287919676,-73.98823194217405,B02512
2024-09-22 19:23:33,40.73800895505305,-73.75331340318682,B02682
2024-10-21 02:11:48,40.65758946985574,-73.83253357787206,B02764
2024-10-31 03:54:09,40.85761680230072,-74.11008738497468,B02512
2024-06-23 23:14:55,40.628113093494726,-73.89203506081039,B02617
2024-08-18 09:58:07,40.851167725210395,-74.14785091089209,B02598
2024-02-26 16:00:20,40.82901505176083,-73.86118547339163,B02682
2024-08-24 17:22:50,40.6545019646618,-74.14640871450247,B02598
2024-03-28 10:54:56,40.77429257233569,-73.87959742180716,B02682
